X,Y
76.8771,0
82.134,2.566210046
82.4418,5.132420091
88.65855,7.698630137
99.43965,10.26484018
101.4849,12.83105023
101.35935,15.39726027
98.50005,17.96347032
97.362,20.52968037
94.95225,23.09589041
91.04805,25.66210046
90.61875,28.2283105
92.826,30.79452055
85.02165,33.36073059
80.08065,35.92694064
77.56965,38.49315068
75.6621,41.05936073
76.5936,43.62557078
68.28705,46.19178082
67.959,48.75799087
70.83855,51.32420091
68.53815,53.89041096
66.12435,56.456621
67.8375,59.02283105
65.29005,61.5890411
66.5496,64.15525114
70.03665,66.72146119
67.4649,69.28767123
62.74665,71.85388128
64.6866,74.42009132
62.6049,76.98630137
68.56245,79.55251142
67.0275,82.11872146
60.81885,84.68493151
53.2818,87.25114155
56.1978,89.8173516
55.65105,92.38356164
52.08705,94.94977169
43.0677,97.51598174
44.0964,100.0821918
52.1802,102.6484018
54.02295,105.2146119
59.72535,107.7808219
61.1469,110.347032
57.9879,112.913242
56.7243,115.4794521
55.1772,118.0456621
50.1633,120.6118721
54.29835,123.1780822
46.66005,125.7442922
53.59365,128.3105023
56.1492,130.8767123
43.16895,133.4429224
50.5926,136.0091324
50.625,138.5753425
52.7715,141.1415525
49.48695,143.7077626
45.5544,146.2739726
46.3401,148.8401826
51.21225,151.4063927
50.8356,153.9726027
53.82855,156.5388128
53.703,159.1050228
51.3702,161.6712329
55.35945,164.2374429
57.9798,166.803653
60.1992,169.369863
51.48765,171.9360731
47.76975,174.5022831
57.37635,177.0684932
53.4195,179.6347032
51.89265,182.2009132
52.4475,184.7671233
56.0682,187.3333333
58.85055,189.8995434
57.105,192.4657534
54.9666,195.0319635
53.298,197.5981735
46.97595,200.1643836
43.1163,202.7305936
47.3769,205.2968037
41.0427,207.8630137
37.9647,210.4292237
35.4537,212.9954338
37.9971,215.5616438
39.90465,218.1278539
39.2688,220.6940639
30.3426,223.260274
32.3919,225.826484
37.85535,228.3926941
34.0443,230.9589041
33.92685,233.5251142
29.2977,236.0913242
28.86435,238.6575342
28.20825,241.2237443
27.3537,243.7899543
25.61625,246.3561644
28.4877,248.9223744
23.74515,251.4885845
21.17745,254.0547945
18.3465,256.6210046
20.0799,259.1872146
22.4937,261.7534247
23.6277,264.3196347
12.23505,266.8858447
17.6985,269.4520548
16.6374,272.0182648
15.54795,274.5844749
14.9121,277.1506849
18.1764,279.716895
13.96845,282.283105
11.08485,284.8493151
9.6147,287.4155251
9.08415,289.9817352
9.51345,292.5479452
14.2884,295.1141553
21.8862,297.6803653
24.03675,300.2465753
23.08095,302.8127854
28.32975,305.3789954
30.5613,307.9452055
26.1873,310.5114155
30.53295,313.0776256
33.6474,315.6438356
29.1276,318.2100457
23.84235,320.7762557
23.93955,323.3424658
23.98815,325.9086758
23.89095,328.4748858
27.0864,331.0410959
36.29205,333.6073059
31.26195,336.173516
28.45125,338.739726
26.81505,341.3059361
28.16775,343.8721461
21.7971,346.4383562
25.77825,349.0045662
27.3537,351.5707763
26.58015,354.1369863
27.5805,356.7031963
39.21615,359.2694064
42.67485,361.8356164
35.1297,364.4018265
65.97855,366.9680365
69.63165,369.5342466
72.495,372.1004566
78.5052,374.6666667
76.7556,377.2328767
77.71545,379.7990868
86.07465,382.3652968
86.01795,384.9315068
77.8248,387.4977169
74.25675,390.0639269
72.1629,392.630137
70.93575,395.196347
71.5635,397.7625571
74.3337,400.3287671
76.8771,402.8949772
85.83165,405.4611872
88.71525,408.0273973
80.80965,410.5936073
79.47315,413.1598174
85.5603,415.7260274
80.9838,418.2922374
83.6163,420.8584475
84.38985,423.4246575
83.5758,425.9908676
84.7341,428.5570776
90.89415,431.1232877
93.41325,433.6894977
95.6853,436.2557078
93.0852,438.8219178
96.69375,441.3881279
93.88305,443.9543379
92.7936,446.5205479
95.2965,449.086758
87.84855,451.652968
94.50675,454.2191781
97.5645,456.7853881
92.91915,459.3515982
93.74535,461.9178082
88.8975,464.4840183
93.9762,467.0502283
95.8797,469.6164384
97.53615,472.1826484
97.0704,474.7488584
96.3657,477.3150685
99.98235,479.8812785
102.75255,482.4474886
105.13395,485.0136986
104.64795,487.5799087
105.86295,490.1461187
107.95275,492.7123288
109.23255,495.2785388
108.216,497.8447489
109.34595,500.4109589
121.824,502.9771689
125.3313,505.543379
122.8284,508.109589
116.2269,510.6757991
116.86275,513.2420091
116.8668,515.8082192
116.87895,518.3744292
111.98655,520.9406393
115.85835,523.5068493
115.54245,526.0730594
113.63085,528.6392694
114.5664,531.2054795
114.6636,533.7716895
113.2623,536.3378995
109.3419,538.9041096
108.17955,541.4703196
106.5231,544.0365297
105.55515,546.6027397
102.3435,549.1689498
101.66715,551.7351598
86.45535,554.3013699
91.46925,556.8675799
90.2502,559.43379
91.9836,562
